id,address,latitude,longitude
1,""江苏省南京市"",118.797,32.0593
2,""陕西省西安市莲湖区止园饭店"",108.94,34.2713
3,""陕西省西安市莲湖区丰登南路|18号"",108.895,34.2529
4,""浙江省宁波市海曙区环城西路北段|40号"",121.55,29.8737
5,""陕西省西安市未央区草滩路"",108.991,34.38
6,""陕西省西安市长安区沣惠"",108.771,34.1123
7,""陕西省西安市莲湖区解家村"",108.944,34.2654
8,""陕西省西安市莲湖区桃园路"",108.901,34.2649
9,""陕西省西安市莲湖区龙首北路西段|27"",108.944,34.2654
10,""陕西省西安市莲湖区丰禾路|1号"",108.907,34.2817
11,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
12,""陕西省西安市莲湖区大兴东路"",108.91,34.2862
13,""陕西省西安市莲湖区龙赵村"",108.936,34.2908
14,""陕西省西安市莲湖区团结东路|5号"",108.905,34.2632
15,""陕西省西安市莲湖区明珠巷"",108.926,34.2836
16,""陕西省西安市莲湖区纸坊村|121号"",108.933,34.2783
17,""陕西省西安市莲湖区丰禾路|6号"",108.907,34.2817
18,""陕西省西安市莲湖区明珠巷"",108.926,34.2836
19,""陕西省西安市莲湖区青年路"",108.94,34.2712
20,""陕西省西安市莲湖区西北一路|40号"",108.928,34.2714
21,""陕西省西安市未央区大兴路"",108.947,34.2931
22,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
23,""陕西省西安市莲湖区西桃园"",108.894,34.2434
24,""陕西省西安市莲湖区莲湖路|63号|附3号"",108.933,34.2698
25,""陕西省西安市莲湖区红庙坡"",108.921,34.2853
26,""陕西省西安市鄠邑区团结西路中段"",108.623,34.0646
27,""陕西省西安市莲湖区电容器厂"",108.944,34.2654
28,""陕西省西安市莲湖区劳动南路|8号"",108.91,34.2507
29,""陕西省西安市莲湖区枣园"",108.866,34.2772
30,""陕西省西安市莲湖区大庆路"",108.889,34.269
31,""陕西省西安市莲湖区莲湖区西站"",108.944,34.2654
32,""陕西省西安市莲湖区丰庆路|92号"",108.91,34.2508
33,""陕西省西安市莲湖区习武园|34"",108.929,34.2737
34,""陕西省西安市莲湖区大庆西路"",108.944,34.2654
35,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
36,""陕西省西安市莲湖区丰登南路|8号"",108.895,34.2529
37,""陕西省西安市莲湖区沣镐路"",108.907,34.2555
38,""陕西省西安市莲湖区介家巷"",108.919,34.2574
39,""陕西省西安市莲湖区自强西路|75号"",108.937,34.2802
40,""陕西省西安市莲湖区自强西路"",108.937,34.2802
41,""陕西省西安市未央区大兴路"",108.947,34.2931
42,""陕西省西安市莲湖区丰庆路|135号"",108.91,34.2508
43,""浙江省舟山市定海区环城西路|148号"",122.107,30.0198
44,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
45,""陕西省西安市莲湖区环城西路|146号"",108.922,34.2662
46,""陕西省西安市高陵区西大街|368号"",109.086,34.5371
47,""陕西省西安市莲湖区甜水井"",108.933,34.2541
48,""陕西省西安市莲湖区"",108.944,34.2654
49,""陕西省西安市未央区红光路"",108.857,34.2593
50,""陕西省西安市莲湖区沣惠北路|附7号"",108.891,34.2733
51,""陕西省西安市莲湖区二府街|3号楼"",108.943,34.2671
52,""陕西省西安市莲湖区北稍门"",108.948,34.2863
53,""陕西省西安市莲湖区振华北路|10号"",108.943,34.2863
54,""陕西省西安市莲湖区西关机场"",108.944,34.2654
55,""陕西省西安市莲湖区纸坊村"",108.933,34.2783
56,""陕西省西安市雁塔区中航大厦"",108.905,34.2353
57,""广东省广州市番禺区北大街"",113.395,23.0108
58,""陕西省西安市莲湖区劳动西路"",108.908,34.2661
59,""陕西省西安市碑林区十字南"",108.941,34.2567
60,""陕西省西安市莲湖区北马道巷"",108.926,34.2653
61,""陕西省西安市莲湖区青年路|156号"",108.94,34.2712
62,""陕西省西安市未央区兴中路|136号"",108.954,34.3279
63,""河南省郑州市金水区青年路|1号"",113.718,34.7421
64,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
65,""陕西省西安市莲湖区西关机场"",108.944,34.2654
66,""陕西省西安市未央区兴中路|5号"",108.954,34.3279
67,""陕西省西安市莲湖区丰镐路"",108.899,34.2594
68,""陕西省西安市莲湖区王家巷|31号"",108.919,34.2607
69,""陕西省西安市莲湖区大土门"",108.888,34.2665
70,""陕西省西安市莲湖区创新路|47号"",108.884,34.251
71,""陕西省西安市莲湖区大庆路|100号"",108.889,34.269
72,""陕西省西安市未央区未央路"",108.947,34.3161
73,""陕西省西安市新城区粮油批发市场"",108.961,34.2666
74,""陕西省西安市未央区大庆路|12号"",108.889,34.269
75,""河南省郑州市"",113.625,34.7463
76,""陕西省西安市莲湖区污水处理厂邓家村家属院"",108.871,34.2875
77,""陕西省西安市莲湖区枣园东路"",108.878,34.2707
78,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
79,""山西省太原市"",112.55,37.8705
80,""陕西省西安市莲湖区沣镐东路|4号"",108.897,34.2596
81,""安徽省合肥市庐阳区环城西路"",117.27,31.8628
82,""陕西省西安市莲湖区工农路|23号"",108.933,34.2821
83,""陕西省西安市莲湖区沣镐路"",108.907,34.2555
84,""北京市丰台区大兴路"",116.379,39.8028
85,""陕西省西安市未央区未央路"",108.947,34.3161
86,""陕西省西安市莲湖区大土门"",108.888,34.2665
87,""陕西省西安市莲湖区大莲花池街|14号"",108.943,34.2683
88,""陕西省西安市莲湖区北夏家"",108.93,34.2584
89,""陕西省西安市未央区劳动北路|58"",108.911,34.2909
90,""陕西省西安市莲湖区"",108.944,34.2654
91,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
92,""陕西省西安市莲湖区振华南路|12号"",108.943,34.2807
93,""陕西省西安市莲湖区大土门|11号"",108.888,34.2665
94,""陕西省西安市莲湖区环城北路|81号"",108.947,34.2775
95,""陕西省西安市未央区大兴路"",108.947,34.2931
96,""陕西省西安市莲湖区沣镐西路"",108.88,34.2596
97,""陕西省西安市莲湖区团结中路|37号"",108.888,34.2641
98,""陕西省西安市莲湖区环城西路南段"",108.922,34.2662
99,""陕西省西安市"",108.94,34.3432
100,""陕西省西安市雁塔区团结南路|4号"",108.882,34.2422
101,""陕西省西安市莲湖区大庆路"",108.889,34.269
102,""陕西省西安市莲湖区环城西路|148号"",108.922,34.2662
103,""陕西省西安市未央区南路"",108.868,34.3261
104,""陕西省西安市临潼区西关正街"",109.206,34.3704
105,""陕西省西安市碑林区西村"",108.941,34.2567
106,""陕西省西安市莲湖区北马道巷"",108.926,34.2653
107,""陕西省西安市莲湖区大庆路|96号"",108.889,34.269
108,""陕西省西安市莲湖区丰登路|29号"",108.895,34.2641
109,""陕西省西安市莲湖区西关正街|32号"",108.918,34.2594
110,""陕西省西安市莲湖区大莲花池街|30号"",108.943,34.2683
111,""陕西省西安市莲湖区劳动路北段"",108.91,34.2628
112,""陕西省西安市临潼区西关正街|233"",109.206,34.3704
113,""陕西省西安市未央区朱宏路|1"",108.921,34.3237
114,""陕西省西安市鄠邑区西郊"",108.6,34.1051
115,""陕西省西安市莲湖区柴家什字|26号"",108.93,34.2572
116,""陕西省西安市莲湖区新建巷"",108.944,34.2654
117,""陕西省西安市莲湖区团结中路|8号"",108.888,34.2641
118,""陕西省西安市莲湖区汉城东路|2号"",108.878,34.2623
119,""陕西省西安市未央区游乐场"",108.947,34.2931
120,""陕西省西安市莲湖区团结中路|8号"",108.888,34.2641
121,""陕西省西安市雁塔区团结南路|1号"",108.882,34.2422
122,""陕西省西安市莲湖区庙后街"",108.935,34.2631
123,""陕西省西安市莲湖区东桃园"",108.904,34.2426
124,""陕西省西安市莲湖区环城西路|146号"",108.922,34.2662
125,""陕西省西安市莲湖区丰登南路|甲字27号"",108.895,34.2529
126,""陕西省西安市莲湖区北院门|45号"",108.935,34.2616
127,""陕西省西安市未央区兴中路|3号"",108.954,34.3279
128,""山西省太原市"",112.55,37.8705
129,""陕西省西安市雁塔区西华门|8号"",108.949,34.2225
130,""陕西省西安市新城区粮油批发市场"",108.961,34.2666
131,""陕西省西安市雁塔区昆明路中段"",108.86,34.2524
132,""山东省济南市章丘区北大街"",117.581,36.7462
133,""陕西省西安市莲湖区甜水井"",108.933,34.2541
134,""陕西省西安市莲湖区庙后街|138"",108.935,34.2631
135,""陕西省西安市临潼区西关正街|233"",109.206,34.3704
136,""陕西省西安市莲湖区西北三路|15号"",108.933,34.2729
137,""陕西省西安市莲湖区龙首村西南区|1号楼"",108.949,34.2903
138,""陕西省西安市莲湖区自强西路|75号"",108.937,34.2802
139,""陕西省西安市莲湖区自强西路|77号"",108.937,34.2802
140,""陕西省西安市莲湖区龙首村"",108.948,34.2926
141,""陕西省西安市莲湖区自强西路"",108.937,34.2802
142,""陕西省西安市莲湖区劳动南路|1号"",108.91,34.2507
143,""陕西省西安市莲湖区西桃园"",108.894,34.2434
144,""陕西省西安市临潼区西关正街"",109.206,34.3704
145,""陕西省西安市临潼区环城北路"",109.215,34.3713
146,""陕西省西安市莲湖区西大街"",108.943,34.2587
147,""陕西省西安市莲湖区建华路|14号"",108.944,34.2654
148,""陕西省西安市莲湖区龙渠湾|8"",108.926,34.2582
149,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
150,""陕西省西安市新城区建华路|117号"",108.977,34.2853
151,""陕西省西安市莲湖区丰庆路|21号"",108.91,34.2508
152,""陕西省西安市莲湖区劳动北路|70号"",108.913,34.2735
153,""陕西省西安市莲湖区红庙坡"",108.921,34.2853
154,""陕西省西安市雁塔区昆明路中段"",108.86,34.2524
155,""陕西省西安市莲湖区劳动公园"",108.904,34.2649
156,""陕西省西安市碑林区文治路|15号"",108.984,34.2455
157,""陕西省西安市未央区大兴路"",108.947,34.2931
158,""陕西省西安市莲湖区团结东路"",108.905,34.2632
159,""陕西省西安市莲湖区团结东路|22"",108.905,34.2632
160,""陕西省西安市未央区曹家堡村"",108.877,34.3399
161,""陕西省西安市莲湖区马家庄|27号"",108.944,34.2654
162,""陕西省西安市莲湖区振华路"",108.945,34.2842
163,""陕西省西安市周至县北大街|99号"",108.218,34.1642
164,""广东省广州市从化区振华路"",113.536,23.5965
165,""陕西省西安市莲湖区北院门|158"",108.935,34.2616
166,""陕西省西安市莲湖区糜家桥|15号"",108.912,34.2481
167,""陕西省西安市莲湖区汉城北路"",108.872,34.2752
168,""陕西省西安市莲湖区劳动南路|68号"",108.91,34.2507
169,""陕西省西安市莲湖区社会路"",108.946,34.2633
170,""陕西省西安市莲湖区大庆路"",108.889,34.269
171,""陕西省西安市莲湖区大兴东路|37号"",108.91,34.2862
172,""陕西省西安市莲湖区西大街"",108.943,34.2587
173,""陕西省西安市莲湖区劳动南路|21号"",108.91,34.2507
174,""陕西省西安市未央区沣惠路"",108.839,34.2661
175,""陕西省西安市莲湖区郝家巷|9号"",108.943,34.2802
176,""陕西省西安市未央区草滩路"",108.991,34.38
177,""陕西省西安市莲湖区劳动路"",108.91,34.2628
178,""江苏省徐州市沛县汉城北路"",116.933,34.7724
179,""陕西省西安市莲湖区青年路|121"",108.94,34.2712
180,""陕西省西安市莲湖区丰登路"",108.895,34.2641
181,""河南省郑州市惠济区汽配市场"",113.617,34.868
182,""陕西省西安市碑林区劳动南路21号"",108.909,34.2675
183,""陕西省西安市莲湖区劳动南路|21号"",108.91,34.2507
184,""陕西省西安市莲湖区星火路|39"",108.922,34.2851
185,""陕西省西安市临潼区西关正街|233"",109.206,34.3704
186,""陕西省西安市莲湖区大兴西路|40号"",108.872,34.2866
187,""陕西省西安市莲湖区劳动南路|21号"",108.91,34.2507
188,""陕西省西安市雁塔区西电技校"",108.949,34.2225
189,""陕西省西安市莲湖区莲湖路|99"",108.933,34.2698
190,""陕西省西安市莲湖区大庆路"",108.889,34.269
191,""河南省郑州市"",113.625,34.7463
192,""陕西省西安市长安区西大街|378号"",108.907,34.1587
193,""陕西省西安市莲湖区潘家村"",108.917,34.2699
194,""陕西省西安市鄠邑区西郊"",108.6,34.1051
195,""陕西省西安市莲湖区药王洞|56号"",108.938,34.2737
196,""陕西省西安市莲湖区解家村"",108.944,34.2654
197,""陕西省西安市莲湖区南火巷"",108.922,34.2575
198,""陕西省西安市莲湖区汉城北路"",108.872,34.2752
199,""陕西省西安市莲湖区西大街"",108.943,34.2587
200,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
201,""陕西省西安市鄠邑区西郊"",108.6,34.1051
202,""辽宁省沈阳市"",123.465,41.6776
203,""陕西省西安市莲湖区沣惠北路|64号"",108.891,34.2733
204,""陕西省西安市莲湖区甜水井街|22"",108.932,34.2545
205,""陕西省西安市莲湖区潘家村|14号楼"",108.917,34.2699
206,""陕西省西安市莲湖区西北三路|15号"",108.933,34.2729
207,""陕西省西安市莲湖区大庆路|68号"",108.889,34.269
208,""陕西省西安市莲湖区大庆路"",108.889,34.269
209,""陕西省西安市莲湖区丰镐西路|30号"",108.882,34.2593
210,""陕西省西安市莲湖区庙后街"",108.935,34.2631
211,""陕西省西安市莲湖区任家庄"",108.944,34.2654
212,""陕西省西安市莲湖区西关南小巷"",108.944,34.2654
213,""陕西省西安市"",108.94,34.3432
214,""陕西省西安市莲湖区骆驼巷"",108.928,34.2588
215,""陕西省西安市莲湖区青年一巷|8"",108.938,34.2728
216,""陕西省西安市莲湖区环城西路南段"",108.922,34.2662
217,""陕西省西安市莲湖区沣镐路"",108.907,34.2555
218,""陕西省西安市新城区胡家庙蔬菜批发市场"",109.004,34.2773
219,""陕西省西安市碑林区劳动南路|34号"",108.91,34.2507
220,""陕西省西安市莲湖区振华路|64"",108.945,34.2842
221,""陕西省西安市莲湖区大兴西路|83号"",108.872,34.2866
222,""陕西省西安市莲湖区西羊市|93号"",108.943,34.2632
223,""陕西省西安市莲湖区环城西路北段"",108.922,34.2662
224,""陕西省西安市莲湖区北关"",108.944,34.2654
225,""陕西省西安市莲湖区大土门|2号楼"",108.888,34.2665
226,""陕西省西安市莲湖区丰镐西路"",108.882,34.2593
227,""陕西省西安市莲湖区环城西路北段|5号"",108.922,34.2662
228,""陕西省西安市莲湖区丰庆路"",108.91,34.2508
229,""陕西省西安市莲湖区化觉巷"",108.943,34.262
230,""陕西省西安市莲湖区远东公司西"",108.944,34.2654
231,""陕西省西安市莲湖区劳动北路"",108.913,34.2735
232,""陕西省西安市蓝田县路东段"",109.323,34.1513
233,""陕西省西安市新城区胡家庙蔬菜批发市场"",109.004,34.2773
234,""陕西省西安市雁塔区团结南路|1"",108.882,34.2422
235,""陕西省西安市莲湖区劳动南路|31号"",108.91,34.2507
236,""陕西省西安市莲湖区丰镐路|4号"",108.899,34.2594
237,""陕西省西安市莲湖区丰收路|1号"",108.882,34.2776
238,""陕西省西安市莲湖区丰镐东路|10号"",108.899,34.2594
239,""陕西省西安市莲湖区大莲花池街|38"",108.943,34.2683
240,""陕西省西安市雁塔区团结南路|47号"",NULL,NULL
241,""陕西省西安市莲湖区颜家堡"",NULL,NULL
242,""陕西省西安市周至县西大街|259号"",NULL,NULL
243,""陕西省西安市"",NULL,NULL
244,""陕西省西安市莲湖区高新电子市场"",NULL,NULL
245,""陕西省西安市未央区沈家寨|2号"",NULL,NULL
246,""陕西省西安市莲湖区西站街|15号"",NULL,NULL
247,""陕西省西安市莲湖区丰镐东路|13"",NULL,NULL
248,""陕西省西安市莲湖区大庆路"",NULL,NULL
249,""山西省太原市小店区西大街|53号"",NULL,NULL
250,""陕西省西安市莲湖区沣镐路"",NULL,NULL
251,""陕西省西安市莲湖区五星街|17号"",NULL,NULL
252,""陕西省西安市莲湖区甜水井"",NULL,NULL
253,""陕西省西安市临潼区环城北路"",NULL,NULL
254,""陕西省西安市莲湖区骆驼巷"",NULL,NULL
255,""陕西省西安市新城区建华路|10号"",NULL,NULL
256,""陕西省西安市莲湖区西仓"",NULL,NULL
257,""陕西省西安市未央区大兴路|42号"",NULL,NULL
258,""陕西省西安市莲湖区大庆路|12"",NULL,NULL
259,""陕西省西安市莲湖区玉祥门"",NULL,NULL
260,""陕西省西安市莲湖区青年路|149"",NULL,NULL
261,""陕西省西安市莲湖区西羊市"",NULL,NULL
262,""陕西省西安市新城区环北路"",NULL,NULL
263,""陕西省西安市莲湖区甜水井|61院"",NULL,NULL
264,""陕西省西安市莲湖区庙后街|118"",NULL,NULL
265,""陕西省西安市莲湖区西北三路|17号"",NULL,NULL
266,""陕西省西安市莲湖区土门小学"",NULL,NULL
267,""陕西省西安市莲湖区大庆路"",NULL,NULL
268,""陕西省西安市莲湖区环城西路北段"",NULL,NULL
269,""陕西省西安市莲湖区丰登路中段"",NULL,NULL
270,""陕西省西安市莲湖区北马道巷"",NULL,NULL
271,""山西省临汾市洪洞县大白杨"",NULL,NULL
272,""陕西省西安市未央区大白杨村"",NULL,NULL
273,""陕西省西安市莲湖区汉城路"",NULL,NULL
274,""陕西省西安市莲湖区工农路|123号"",NULL,NULL
275,""陕西省西安市莲湖区团结东路|31"",NULL,NULL
276,""陕西省西安市莲湖区早慈巷|6号"",NULL,NULL
277,""陕西省西安市莲湖区麦笕街"",NULL,NULL
278,""陕西省西安市莲湖区沣镐路|1号"",NULL,NULL
279,""陕西省西安市莲湖区新民巷|20号"",NULL,NULL
280,""湖南省长沙市望城区莲湖路|30号"",NULL,NULL
281,""陕西省西安市莲湖区大庆路|7号"",NULL,NULL
282,""陕西省西安市莲湖区振华北路|10号"",NULL,NULL
283,""陕西省西安市莲湖区大土门"",NULL,NULL
284,""陕西省西安市莲湖区远东公司"",NULL,NULL
285,""陕西省西安市莲湖区汉城路"",NULL,NULL
286,""陕西省西安市莲湖区北马道巷"",NULL,NULL
287,""湖南省长沙市"",NULL,NULL
288,""陕西省西安市莲湖区汉城北路|117号"",NULL,NULL
289,""陕西省西安市莲湖区大兴路"",NULL,NULL
290,""陕西省西安市莲湖区西华门"",NULL,NULL
291,""陕西省西安市莲湖区纸坊村|16号"",NULL,NULL
292,""陕西省西安市未央区大兴路"",NULL,NULL
293,""陕西省西安市莲湖区北院门|106"",NULL,NULL
294,""陕西省西安市灞桥区西北家具"",NULL,NULL
295,""陕西省西安市莲湖区洒金桥|1号"",NULL,NULL
296,""陕西省西安市鄠邑区西郊"",NULL,NULL
297,""陕西省西安市未央区大兴路"",NULL,NULL
298,""陕西省西安市莲湖区大兴西路|8号"",NULL,NULL
299,""陕西省西安市莲湖区星火路|2号"",NULL,NULL
300,""陕西省西安市莲湖区东桃园"",NULL,NULL
301,""陕西省西安市周至县北大街|甲字119号"",NULL,NULL
302,""陕西省西安市莲湖区周家围墙|40号"",NULL,NULL
303,""陕西省西安市莲湖区星火路|22号"",NULL,NULL
304,""湖南省长沙市望城区莲湖路|30号"",NULL,NULL
305,""陕西省西安市莲湖区"",NULL,NULL
306,""陕西省西安市莲湖区创新路"",NULL,NULL
307,""陕西省西安市莲湖区振华路"",NULL,NULL
308,""陕西省西安市莲湖区未央路"",NULL,NULL
309,""陕西省西安市莲湖区药王洞|33号"",NULL,NULL
310,""陕西省西安市莲湖区大兴东路|甲字8号"",NULL,NULL
311,""陕西省西安市莲湖区青年路|184号"",NULL,NULL
312,""陕西省西安市蓝田县西关正街|283号"",NULL,NULL
313,""陕西省西安市莲湖区北院门|92号"",NULL,NULL
314,""陕西省西安市莲湖区大庆路西段"",NULL,NULL
315,""陕西省西安市莲湖区建华路|10号"",NULL,NULL
316,""陕西省西安市莲湖区贡院门小学"",NULL,NULL
317,""陕西省西安市莲湖区早慈巷|8号楼"",NULL,NULL
318,""陕西省西安市莲湖区北大街"",NULL,NULL
319,""陕西省西安市莲湖区枣园东路|3号"",NULL,NULL
320,""陕西省西安市莲湖区红庙坡|73号"",NULL,NULL
321,""陕西省西安市莲湖区南小巷|38号"",NULL,NULL
322,""陕西省西安市莲湖区北马道巷"",NULL,NULL
323,""陕西省西安市莲湖区星火路|25"",NULL,NULL
324,""陕西省西安市周至县西大街|259号"",NULL,NULL
325,""陕西省西安市莲湖区远东公司"",NULL,NULL
326,""陕西省西安市莲湖区团结东路|2号"",NULL,NULL
327,""陕西省西安市莲湖区二府街|29"",NULL,NULL
328,""陕西省西安市莲湖区自强西路|22号"",NULL,NULL
329,""陕西省西安市莲湖区青门村"",NULL,NULL
330,""陕西省西安市莲湖区汉城南路|6号"",NULL,NULL
331,""陕西省西安市莲湖区四府街|42号"",NULL,NULL
332,""陕西省西安市莲湖区丰庆路|21号"",NULL,NULL
333,""陕西省西安市莲湖区自强西路|52号"",NULL,NULL
334,""陕西省西安市莲湖区南火巷"",NULL,NULL
335,""陕西省西安市莲湖区红庙坡"",NULL,NULL
336,""陕西省西安市未央区龙首北路西段"",NULL,NULL
337,""陕西省西安市莲湖区南火巷"",NULL,NULL
338,""陕西省西安市莲湖区西大街"",NULL,NULL
339,""陕西省西安市莲湖区建华路|14号"",NULL,NULL
340,""陕西省西安市莲湖区自强西路|47号"",NULL,NULL
341,""陕西省西安市莲湖区环城西路南段"",NULL,NULL
342,""江苏省徐州市鼓楼区大庆路|4号"",NULL,NULL
343,""黑龙江省大庆市龙凤区大庆路|4"",NULL,NULL
344,""陕西省西安市莲湖区琉璃街|52号"",NULL,NULL
345,""陕西省西安市莲湖区环城西路"",NULL,NULL
346,""陕西省西安市莲湖区枣园东路|5号"",NULL,NULL
347,""陕西省西安市蓝田县西关正街|123号"",NULL,NULL
348,""陕西省西安市莲湖区环城西路"",NULL,NULL
349,""陕西省西安市莲湖区西站街|3号"",NULL,NULL
350,""陕西省西安市新城区二马路"",NULL,NULL
351,""广西壮族自治区南宁市"",NULL,NULL
352,""河南省郑州市金水区青年路|1号"",NULL,NULL
353,""陕西省西安市新城区建华路|10号"",NULL,NULL
354,""陕西省西安市莲湖区自强西路"",NULL,NULL
355,""山西省太原市"",NULL,NULL
356,""陕西省西安市莲湖区庙后街|115号"",NULL,NULL
357,""陕西省西安市莲湖区丰镐路"",NULL,NULL
358,""陕西省西安市莲湖区陕西航空工业管理局"",NULL,NULL
359,""陕西省西安市未央区丰惠路"",NULL,NULL
360,""陕西省西安市莲湖区北院门|145号"",NULL,NULL
361,""陕西省西安市莲湖区丰镐路"",NULL,NULL
362,""陕西省西安市未央区大庆路|11号"",NULL,NULL
363,""陕西省西安市未央区汉城路南段"",NULL,NULL
364,""陕西省西安市蓝田县西关正街|285号"",NULL,NULL
365,""陕西省西安市莲湖区潘家村"",NULL,NULL
366,""陕西省西安市莲湖区草阳村"",NULL,NULL
